"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"ALPN_HTTP2","devenirenseignant.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG_FS","devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered","",""
"cipher_order-tls1_2","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","devenirenseignant.gouv.fr/185.75.143.93","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
